setmana_epidemiologica,any,data_inici,data_final,codi_regio,nom_regio,codi_ambit,nom_ambit,sexe,grup_edat,index_socioeconomic,total,positiu
42,2023,16/10/2023,22/10/2023,76,Barcelona Metropolitana Nord,76,Barcelona Metropolitana Nord,Home,80 o més,4,1,1
41,2022,10/10/2022,16/10/2022,71,Alt Pirineu i Aran,71,Alt Pirineu i Aran,Home,15 a 19,3,1,1
38,2022,19/09/2022,25/09/2022,61,Lleida,61,Lleida,Dona,0,4,2,1
13,2024,25/03/2024,31/03/2024,79,Barcelona Ciutat,79,Barcelona Ciutat,Dona,25 a 29,2,1,0
36,2023,04/09/2023,10/09/2023,62,Camp de Tarragona,62,Camp de Tarragona,Dona,50 a 54,2,1,1
28,2022,11/07/2022,17/07/2022,61,Lleida,61,Lleida,Dona,50 a 54,4,1,1
27,2022,04/07/2022,10/07/2022,79,Barcelona Ciutat,79,Barcelona Ciutat,Home,50 a 54,3,4,3
23,2022,06/06/2022,12/06/2022,64,Girona,64,Girona,Home,20 a 24,3,1,0
45,2023,06/11/2023,12/11/2023,79,Barcelona Ciutat,79,Barcelona Ciutat,Dona,30 a 34,3,1,1
12,2023,20/03/2023,26/03/2023,75,Barcelona Metropolitana Sud,75,Barcelona Metropolitana Sud,Home,70 a 74,3,1,1
14,2023,03/04/2023,09/04/2023,62,Camp de Tarragona,62,Camp de Tarragona,Home,10 a 14,3,1,1
38,2022,19/09/2022,25/09/2022,75,Barcelona Metropolitana Sud,75,Barcelona Metropolitana Sud,Dona,75 a 79,3,1,1
38,2023,18/09/2023,24/09/2023,75,Barcelona Metropolitana Sud,75,Barcelona Metropolitana Sud,Dona,70 a 74,3,1,1
36,2023,04/09/2023,10/09/2023,79,Barcelona Ciutat,79,Barcelona Ciutat,Home,50 a 54,2,2,1
6,2023,06/02/2023,12/02/2023,67,Catalunya Central,67,Catalunya Central,Home,20 a 24,4,1,1
45,2023,06/11/2023,12/11/2023,62,Camp de Tarragona,62,Camp de Tarragona,Dona,65 a 69,3,2,2
28,2022,11/07/2022,17/07/2022,79,Barcelona Ciutat,79,Barcelona Ciutat,Dona,65 a 69,2,1,1
27,2023,03/07/2023,09/07/2023,79,Barcelona Ciutat,79,Barcelona Ciutat,Home,75 a 79,3,1,1
50,2022,12/12/2022,18/12/2022,61,Lleida,61,Lleida,Dona,1 i 2,4,2,1
43,2022,24/10/2022,30/10/2022,70,Penedès,70,Penedès,Dona,1 i 2,-1,1,1
30,2022,25/07/2022,31/07/2022,70,Penedès,70,Penedès,Dona,70 a 74,4,1,1
43,2022,24/10/2022,30/10/2022,70,Penedès,70,Penedès,Home,5 a 9,3,1,1
16,2023,17/04/2023,23/04/2023,75,Barcelona Metropolitana Sud,75,Barcelona Metropolitana Sud,Dona,25 a 29,3,2,1
27,2022,04/07/2022,10/07/2022,76,Barcelona Metropolitana Nord,76,Barcelona Metropolitana Nord,Dona,1 i 2,3,1,1
